lat,long,dist
42.123686,-87.818332,0.0
42.123688,-87.818592,0.02144419474130079
42.123684,-87.818737,0.011966888073986116
42.123658,-87.818877,0.011902702496727554
42.123621,-87.818984,0.00973658628957554
42.123563,-87.819073,0.009770934158314488
42.123497,-87.81914,0.00918654876565282
42.123436,-87.819174,0.007339666661798595
42.12336,-87.819191,0.008566341688130433
42.123294,-87.819193,0.007340728726744575
42.123231,-87.819188,0.007017416683491541
42.123171,-87.819161,0.007033509702973636
42.123123,-87.819132,0.00584875144224344
42.123077,-87.819097,0.0058732748824880466
42.123036,-87.819046,0.006202933964306074
42.122996,-87.818987,0.006592468562126592
42.12296,-87.818914,0.007229936444430268
42.122938,-87.818834,0.007036838785558175
42.122926,-87.81871,0.010313484855360041
42.122924,-87.818555,0.012785439708613242
42.122932,-87.817984,0.047101183247915304
42.122936,-87.81789,0.007765324859259077
42.122948,-87.817798,0.007704060568630153
42.12296,-87.817723,0.006327848899473464
42.122986,-87.817667,0.005448791830733115
42.12303,-87.817597,0.007567501460844035
42.123069,-87.81753,0.007024259449055633
42.123113,-87.817482,0.006293575753242458
42.123169,-87.81745,0.006763119657678272
42.123235,-87.817428,0.007559843188408122
42.123292,-87.81742,0.006372368709923517
42.123362,-87.817431,0.00783634647714189
42.12343,-87.817455,0.007816049393004836
42.123485,-87.817487,0.006660876483287591
42.123537,-87.817536,0.007054394888893684
42.123577,-87.817584,0.005954363526786991
42.123613,-87.81764,0.006111857986702274
42.123642,-87.817702,0.006045222646637353
42.123662,-87.81778,0.006806478299249119
42.123674,-87.817863,0.006974118845986872
42.123682,-87.817935,0.006004335069593218
42.123684,-87.818029,0.007755673860024408
42.123684,-87.818153,0.010226681836288741
42.123682,-87.81833,0.014599457728228698
